ID,Y
tr1,0
tr2,0
tr3,0
tr4,0
tr5,0
tr6,0
tr7,0
tr8,0
tr9,0
tr10,0
tr11,0
tr12,0
tr13,0
tr14,0
tr15,0
tr16,0
tr17,0
tr18,0
tr19,0
tr20,0
tr21,0
tr22,0
tr23,0
tr24,0
tr25,0
tr26,0
tr27,0
tr28,0
tr29,0
tr30,0
tr31,0
tr32,0
tr33,0
tr34,0
tr35,0
tr36,0
tr37,0
tr38,0
tr39,0
tr40,0
tr41,0
tr42,0
tr43,0
tr44,0
tr45,0
tr46,0
tr47,1
tr48,0
tr49,1
tr50,0
tr51,0
tr52,0
tr53,0
tr54,0
tr55,0
tr56,0
tr57,0
tr58,0
tr59,0
tr60,0
tr61,0
tr62,0
tr63,0
tr64,0
tr65,0
tr66,0
tr67,0
tr68,0
tr69,1
tr70,0
tr71,0
tr72,0
tr73,0
tr74,0
tr75,0
tr76,0
tr77,0
tr78,0
tr79,0
tr80,0
tr81,0
tr82,0
tr83,0
tr84,0
tr85,0
tr86,0
tr87,0
tr88,0
tr89,0
tr90,0
tr91,0
tr92,0
tr93,0
tr94,0
tr95,0
tr96,0
tr97,0
tr98,0
tr99,0
tr100,0
tr101,0
tr102,0
tr103,0
tr104,0
tr105,0
tr106,0
tr107,0
tr108,0
tr109,0
tr110,0
tr111,0
tr112,0
tr113,0
tr114,0
tr115,0
tr116,0
tr117,0
tr118,0
tr119,0
tr120,0
tr121,0
tr122,0
tr123,0
tr124,0
tr125,0
tr126,0
tr127,0
tr128,0
tr129,0
tr130,0
tr131,0
tr132,0
tr133,0
tr134,0
tr135,0
tr136,0
tr137,0
tr138,0
tr139,0
tr140,0
tr141,0
tr142,0
tr143,0
tr144,0
tr145,0
tr146,0
tr147,0
tr148,0
tr149,0
tr150,0
tr151,0
tr152,0
tr153,0
tr154,0
tr155,0
tr156,0
tr157,0
tr158,0
tr159,0
tr160,0
tr161,0
tr162,0
tr163,0
tr164,0
tr165,0
tr166,0
tr167,0
tr168,0
tr169,0
tr170,0
tr171,0
tr172,0
tr173,0
tr174,0
tr175,0
tr176,0
tr177,0
tr178,0
tr179,0
tr180,0
tr181,0
tr182,0
tr183,0
tr184,0
tr185,0
tr186,0
tr187,0
tr188,0
tr189,0
tr190,0
tr191,0
tr192,0
tr193,0
tr194,0
tr195,0
tr196,0
tr197,0
tr198,0
tr199,0
tr200,0
tr201,0
tr202,0
tr203,0
tr204,0
tr205,0
tr206,0
tr207,0
tr208,0
tr209,0
tr210,0
tr211,0
tr212,0
tr213,0
tr214,0
tr215,0
tr216,0
tr217,0
tr218,0
tr219,0
tr220,0
tr221,0
tr222,0
tr223,0
tr224,0
tr225,0
tr226,0
tr227,0
tr228,1
tr229,1
tr230,0
tr231,0
tr232,0
tr233,0
tr234,0
tr235,0
tr236,0
tr237,0
tr238,0
tr239,0
tr240,0
tr241,0
tr242,0
tr243,0
tr244,0
tr245,0
tr246,0
tr247,0
tr248,0
tr249,0
tr250,0
tr251,0
tr252,0
tr253,0
tr254,0
tr255,0
tr256,0
tr257,0
tr258,0
tr259,0
tr260,0
tr261,0
tr262,0
tr263,0
tr264,0
tr265,0
tr266,0
tr267,0
tr268,0
tr269,0
tr270,0
tr271,0
tr272,0
tr273,0
tr274,0
tr275,0
tr276,0
tr277,0
tr278,0
tr279,0
tr280,0
tr281,0
tr282,0
tr283,0
tr284,0
tr285,0
tr286,0
tr287,0
tr288,0
tr289,0
tr290,0
tr291,0
tr292,0
tr293,0
tr294,0
tr295,0
tr296,0
tr297,0
tr298,0
tr299,0
tr300,0
tr301,0
tr302,0
tr303,0
tr304,1
tr305,0
tr306,0
tr307,0
tr308,0
tr309,0
tr310,0
tr311,0
tr312,0
tr313,0
tr314,0
tr315,0
tr316,0
tr317,0
tr318,0
tr319,0
tr320,0
tr321,0
tr322,0
tr323,0
tr324,0
tr325,0
tr326,0
tr327,0
tr328,0
tr329,0
tr330,0
tr331,0
tr332,0
tr333,0
tr334,0
tr335,0
tr336,0
tr337,0
tr338,0
tr339,0
tr340,1
tr341,0
tr342,0
tr343,0
tr344,0
tr345,0
tr346,0
tr347,0
tr348,0
tr349,0
tr350,0
tr351,0
tr352,0
tr353,0
tr354,0
tr355,0
tr356,0
tr357,0
tr358,0
tr359,0
tr360,0
tr361,0
tr362,0
tr363,0
tr364,0
tr365,0
tr366,0
tr367,0
tr368,0
tr369,0
tr370,0
tr371,0
tr372,0
tr373,0
tr374,0
tr375,0
tr376,0
tr377,0
tr378,0
tr379,0
tr380,0
tr381,0
tr382,0
tr383,0
tr384,0
tr385,0
tr386,0
tr387,0
tr388,0
tr389,0
tr390,0
tr391,0
tr392,0
tr393,0
tr394,0
tr395,0
tr396,0
tr397,0
tr398,0
tr399,0
tr400,0
tr401,0
tr402,0
tr403,0
tr404,0
tr405,0
tr406,0
tr407,0
tr408,0
tr409,0
tr410,0
tr411,0
tr412,0
tr413,0
tr414,0
tr415,0
tr416,0
tr417,0
tr418,0
tr419,0
tr420,1
tr421,0
tr422,0
tr423,0
tr424,0
tr425,0
tr426,0
tr427,0
tr428,0
tr429,0
tr430,0
tr431,0
tr432,0
tr433,0
tr434,0
tr435,0
tr436,0
tr437,0
tr438,0
tr439,0
tr440,0
tr441,0
tr442,0
tr443,0
tr444,0
tr445,0
tr446,0
tr447,0
tr448,0
tr449,0
tr450,0
tr451,0
tr452,0
tr453,0
